,Date,Low,High,Close,Open
85,2016-02-19,0.805,0.86,0.86,0.8332
84,2016-03-28,1.439,1.5199,1.5,1.49
83,2016-05-02,1.02,1.02,1.02,1.02
82,2016-04-19,1.38,1.45,1.39,1.41
81,2016-05-05,1.02,1.02,1.02,1.02
80,2016-04-08,1.45,1.49,1.48,1.4601
79,2016-01-11,1.2,1.27,1.27,1.24
78,2016-05-03,1.02,1.02,1.02,1.02
77,2016-01-07,1.09,1.23,1.1,1.23
76,2016-04-18,1.33,1.44,1.37,1.4
75,2016-04-21,1.4,1.48,1.4,1.44
74,2016-01-22,0.852,0.93,0.87,0.911
73,2016-02-02,0.8554,0.9733,0.918,0.97
72,2016-03-22,1.38,1.5688,1.5199,1.38
71,2016-05-04,1.02,1.02,1.02,1.02
70,2016-02-08,0.9011,1.0,0.916,1.0
69,2016-02-22,0.761,0.845,0.79,0.802
68,2016-04-29,1.02,1.02,1.02,1.02
67,2016-03-14,1.58,1.75,1.72,1.62
66,2016-01-08,1.11,1.23,1.22,1.11
65,2016-02-01,0.9,0.98,0.95,0.98
64,2016-04-11,1.48,1.59,1.5,1.48
63,2016-03-03,0.7347,0.78,0.75,0.76
62,2016-02-16,0.7557,0.91,0.8456,0.7557
61,2016-02-11,0.6801,0.7561,0.6801,0.7561
60,2016-02-12,0.67,0.74,0.67,0.74
59,2016-02-29,0.7,0.7455,0.7455,0.7
58,2016-03-17,1.45,1.52,1.51,1.49
57,2016-01-25,1.01,1.19,1.049,1.07
56,2016-04-04,1.49,1.55,1.55,1.55
55,2016-04-07,1.42,1.48,1.42,1.48
54,2016-03-08,1.85,2.249,1.91,1.85
53,2016-02-09,0.86,0.92,0.873,0.92
52,2016-02-26,0.69,0.7835,0.7,0.7738
51,2016-01-21,0.8109,0.8955,0.86,0.8705
50,2016-03-01,0.7,0.75,0.7247,0.7
49,2016-04-22,1.33,1.43,1.35,1.39
48,2016-01-04,1.1,1.28,1.28,1.23
47,2016-03-31,1.43,1.5,1.43,1.48
46,2016-03-10,1.42,1.58,1.5,1.49
45,2016-01-06,1.15,1.29,1.23,1.154
44,2016-04-06,1.48,1.55,1.54,1.48
43,2016-01-29,0.935,1.0,0.96,0.957
42,2016-04-20,1.37,1.43,1.4,1.37
41,2016-01-05,1.13,1.29,1.15,1.23
40,2016-01-12,1.23,1.28,1.2301,1.28
39,2016-04-26,1.3,1.48,1.38,1.3
38,2016-02-05,0.96,1.0,0.988,1.0
37,2016-04-15,1.37,1.45,1.37,1.4499
36,2016-01-14,1.13,1.3,1.15,1.18
35,2016-04-05,1.428,1.51,1.45,1.5
34,2016-03-29,1.62,1.79,1.73,1.7
33,2016-01-19,0.9701,1.04,0.9998,1.04
32,2016-03-11,1.48,1.62,1.54,1.49
31,2016-04-14,1.42,1.45,1.42,1.42
30,2016-04-28,1.02,1.02,1.02,1.02
29,2016-04-12,1.43,1.52,1.5195,1.5
28,2016-02-23,0.76,0.79,0.79,0.76
27,2016-03-04,0.88,1.06,1.06,0.88
26,2016-02-10,0.7576,0.8667,0.76,0.85
25,2016-04-27,1.02,1.43,1.02,1.38
24,2016-03-23,1.4,1.51,1.44,1.45
23,2016-02-18,0.8,0.85,0.8304,0.85
22,2016-03-09,1.56,2.37,1.72,2.37
21,2016-03-07,1.11,1.71,1.47,1.11
20,2016-03-24,1.4,1.49,1.4,1.49
19,2016-03-16,1.47,1.69,1.55,1.57
18,2016-03-15,1.6,1.7,1.65,1.6
17,2016-02-17,0.88,0.91,0.91,0.898
16,2016-01-15,1.07,1.15,1.15,1.11
15,2016-03-30,1.55,1.71,1.58,1.71
14,2016-04-01,1.45,1.5231,1.52,1.45
13,2016-01-20,0.8575,0.93,0.86,0.93
12,2016-03-02,0.7201,0.75,0.75,0.721
11,2016-02-25,0.7,0.79,0.7,0.79
10,2016-01-26,0.9027,1.1,0.95,1.1
9,2016-02-03,0.9605,1.03,1.01,0.9905
8,2016-04-13,1.47,1.51,1.48,1.51
7,2016-03-21,1.24,1.39,1.31,1.39
6,2016-01-27,0.9011,1.01,0.98,0.94
5,2016-04-25,1.2716,1.43,1.35,1.3
4,2016-02-24,0.71,0.79,0.737,0.78
3,2016-01-13,1.17,1.33,1.19,1.25
2,2016-03-18,1.33,1.48,1.33,1.453
1,2016-02-04,0.9805,1.03,1.0068,1.03
0,2016-01-28,0.93,0.98,0.93,0.98
